Ballot ID,County,Candidate,,,,
1323913,Jefferson,Charles Casper Stockham,,,candiadates,Charles Casper Stockham
1005842,Jefferson,Charles Casper Stockham,,,,
1880345,Jefferson,Charles Casper Stockham,,,,
1600337,Jefferson,Charles Casper Stockham,,,,
1835994,Jefferson,Charles Casper Stockham,,,,
1772756,Jefferson,Charles Casper Stockham,,,vote count=,7
1920023,Jefferson,Charles Casper Stockham,,,,
1040408,Jefferson,Charles Casper Stockham,,,,
1018414,Jefferson,Nour,,,,
1361118,Jefferson,Nour,,,,
1045722,Jefferson,Nour,,,,
1006975,Jefferson,Nour,,,,
1489642,Jefferson,Nour,,,,
1456389,Jefferson,Nour,,,,
1936969,Jefferson,Nour,,,,
1356658,Jefferson,Mo,,,,
1651667,Jefferson,Mo,,,,
1833621,Jefferson,Mo,,,,
1730001,Jefferson,Mo,,,,
1059252,Jefferson,Mo,,,,
1279893,Jefferson,Charles Casper Stockham,,,,
1100426,Jefferson,Dana,,,,
1855823,Jefferson,Dana,,,,
0,Jefferson,Dana,,,,
1345091,Jefferson,Dana,,,,
1113764,Jefferson,Dana,,,,
1366270,Jefferson,Dana,,,,
1431431,Jefferson,Dana,,,,
1402951,Jefferson,Dana,,,,
1708981,Jefferson,Dana,,,,
1245209,Jefferson,Dana,,,,
1046171,Jefferson,Dana,,,,
1418131,Jefferson,Dana,,,,
